,Business License,Business Name,Address,City,State,Zip Code,Latitude,Longitude
102,11FOOD-0009,Old Town Oil Evanston LLC,1924 CENTRAL ST,Evanston,IL,60201,42.0642112,-87.6999538
103,13FOOD-0011,Marshall's #245,2400 MAIN ST,Evanston,IL,60202,42.0325982,-87.7070999
104,09FOOD-0326,CVS/Pharmacy #4778,101 ASBURY AVE,Evanston,IL,60202,42.02019705,-87.68986319673775
105,14FOOD-0005,Eurest Dining Services,1560 SHERMAN AVE,Evanston,IL,60201,42.0459434,-87.68229991660023
106,10FOOD-0039,"Few Spirits, LLC",918 CHICAGO AVE,Evanston,IL,60202,42.0348542,-87.6799555
107,09FOOD-0212,CVS/Pharmacy #8760,3333 CENTRAL ST,Evanston,IL,60201,42.06527225,-87.72690511118904
108,09FOOD-0116,Tag's Bakery,2010 CENTRAL ST,Evanston,IL,60201,42.0641933,-87.7014232
109,17FOOD-0045,Cold Stone Creamery,1611 SHERMAN AVE,Evanston,IL,60201,42.0475248,-87.681601
110,18FOOD-0029,Kresge Cafe,1880 CAMPUS DR,Evanston,IL,60208,42.0516024,-87.6749275423494
111,18FOOD-0024,Cohen Commons,2145 SHERIDAN RD,Evanston,IL,60208,42.0577277,-87.67586855835782
112,18FOOD-0022,Norris University Center,1999 CAMPUS DR,Evanston,IL,60208,42.05344875,-87.67271689148637
113,12FOOD-0007,Mobil,140 CHICAGO AVE,Evanston,IL,60202,42.02082705,-87.67699997442278
114,09FOOD-0402,Hillel,629 FOSTER ST,Evanston,IL,60201,42.0541473,-87.67870075193613
115,16FOOD-0014,Little Green Tree House,2814 CENTRAL ST,Evanston,IL,60201,42.064273,-87.7135888
116,09FOOD-0037,Edzo's Burger Shop,1571 SHERMAN AVE,Evanston,IL,60201,42.0461989,-87.6815357
117,09FOOD-0297,Dewey Elementary School,1551 WESLEY AVE,Evanston,IL,60201,42.0456911,-87.69124617288509
118,12FOOD-0028,Babylon Discount Food,1618 EMERSON ST,Evanston,IL,60201,42.051841,-87.6951833
119,09FOOD-0064,Mary Lou's Place,1215 CHURCH ST,Evanston,IL,60201,42.049107649999996,-87.68910895739788
120,14FOOD-0050,D & D Dogs Inc,825 NOYES ST,Evanston,IL,60201,42.0585487,-87.6832252
121,09FOOD-0401,J & S Food Mart,701 HOWARD ST,Evanston,IL,60202,42.0196888,-87.6806685058024
122,09FOOD-0078,Little Island,2600 CRAWFORD AVE,Evanston,IL,60201,42.06480145,-87.72762029650457
123,09FOOD-0197,Howard Marathon,555 HOWARD ST,Evanston,IL,60202,42.01974425,-87.67744957583557
124,16FOOD-0007,Margarita European Inn,1566 OAK AVE,Evanston,IL,60201,42.0462802,-87.6871254
125,09FOOD-0322,Century Evanston 12 & Cine Arts 6,1715 MAPLE AVE,Evanston,IL,60201,42.0489741,-87.6843865
126,10FOOD-0020,Other Brother Coffeehouse,1549 SHERMAN AVE,Evanston,IL,60201,42.0455414,-87.6816811
127,09FOOD-0416,Unitarian Church of Evanston,1330 RIDGE AVE,Evanston,IL,60201,42.042374699999996,-87.68886241649304
128,09FOOD-0411,Second Baptist Church,1717 BENSON AVE,Evanston,IL,60201,42.049135,-87.68291674112665
129,09FOOD-0305,Willard Elementary School,2700 HURD AVE,Evanston,IL,60201,42.0670951,-87.71702363996981
130,09FOOD-0288,ETHS,1600 DODGE AVE,Evanston,IL,60201,42.04624425,-87.7021813492043
131,13FOOD-0028,Frio Gelato,1701 SIMPSON ST,Evanston,IL,60201,42.0558212,-87.6958838
132,08FOOD-0184,Ted's Snack Shop,1824 CRAIN ST,Evanston,IL,60202,42.0391572,-87.6989873
133,09FOOD-0201,Evanston Main Foods,835 MAIN ST,Evanston,IL,60202,42.0340966,-87.6835465
134,18FOOD-0031,Sargent Hall,2245 SHERIDAN RD,Evanston,IL,60208,42.05877375,-87.67551466958432
135,13FOOD-0005,Temperance Beer Company LLC,2000 DEMPSTER ST,Evanston,IL,60202,42.0400322,-87.7020644
136,09FOOD-0114,The Woman's Club of Evanston,1702 CHICAGO AVE,Evanston,IL,60201,42.048097850000005,-87.67930210524493
137,09FOOD-0054,Peet's Coffee & Tea,1622 CHICAGO AVE,Evanston,IL,60201,42.0469852,-87.67958
139,09FOOD-0324,Cost Plus World Market,1725 MAPLE AVE,Evanston,IL,60201,42.0491103,-87.6845237
140,17FOOD-0011,MBG Products,1043 CHICAGO AVE,Evanston,IL,60202,42.0372724,-87.6798864
141,16FOOD-0038,Goodwill,1916 B DEMPSTER ST,Evanston,IL,60202,42.0410266,-87.7038005
142,09FOOD-0215,Hearth Restaurant,1625 HINMAN AVE,Evanston,IL,60201,42.04651025,-87.67714250169999
143,10FOOD-0035,Hillside Food Pantry,2727 CRAWFORD AVE,Evanston,IL,60201,42.0677191,-87.72915302196287
145,09FOOD-0162,D & D Finer Foods,825 NOYES ST,Evanston,IL,60201,42.0585487,-87.6832252
146,09FOOD-0355,Lou Malnati's Pizzeria,1850 SHERMAN AVE,Evanston,IL,60201,42.0514152,-87.6820257
147,15FOOD-0041,Coffee Lab,910 NOYES ST,Evanston,IL,60201,42.05835912919832,-87.68372335002198
148,09FOOD-0377,Bernard Food,1125 HARTREY AVE,Evanston,IL,60202,42.038534549999994,-87.70343980503623
149,09FOOD-0379,E-Z Spuds,2223 WASHINGTON ST,Evanston,IL,60202,42.03217815,-87.70531738436799
150,18FOOD-0034,"Kilwins Chocolates, Fudge and Ice Cream",1724 SHERMAN AVE,Evanston,IL,60201,42.0493584,-87.682068
151,14FOOD-0033,Blaze Pizza,1737 SHERMAN AVE,Evanston,IL,60203,42.0496245,-87.6815515
152,13FOOD-0006,Chicago - Main Newstand,860 CHICAGO AVE,Evanston,IL,60202,42.033789,-87.67957283037322
153,09FOOD-0376,Allfresh Food Products,2156 GREEN BAY RD,Evanston,IL,60201,42.057327,-87.6931239
154,09FOOD-0090,Oceanique,505 MAIN ST,Evanston,IL,60202,42.034078,-87.6781136
155,09FOOD-0060,Prairie Joe's,1921 CENTRAL ST,Evanston,IL,60201,42.0644544,-87.699688
156,17FOOD-0039,Qi Kratom CBD Tea,624 GROVE ST,Evanston,IL,60201,42.0452048,-87.6814417
157,14FOOD-0051,Freshii,1596 SHERMAN AVE,Evanston,IL,60201,42.0466909,-87.6821037
158,09FOOD-0240,Celtic Knot Public House,626 CHURCH ST,Evanston,IL,60201,42.0479313,-87.6801569
159,09FOOD-0163,Al's Deli,914 NOYES ST,Evanston,IL,60201,42.0583134,-87.6838267
160,16FOOD-0002,Osel Ling Mindrolling International,1818 DEMPSTER ST,Evanston,IL,60202,42.0408959,-87.6985734
161,09FOOD-0367,Firehouse Grill,750 CHICAGO AVE,Evanston,IL,60202,42.0320475,-87.67921600437091
162,09FOOD-0278,Allen Center,2169 CAMPUS DR,Evanston,IL,60208,42.05643135,-87.67306359248781
163,09FOOD-0375,Westminster Place,3200 GRANT ST,Evanston,IL,60201,42.0577268,-87.7242323
164,18FOOD-0042,Chicago Hot Dog & Co,1009 DAVIS ST,Evanston,IL,60201,42.0472056,-87.6854423
165,09FOOD-0189,Shore Homes East,503 MICHIGAN AVE,Evanston,IL,60202,42.0268876,-87.67165605500901
166,11FOOD-0020,St. James Armenian Church,816 Clark ST,Evanston,IL,60201,42.049683099999996,-87.68273220127642
167,09FOOD-0066,Symphony's,1945 CENTRAL ST,Evanston,IL,60201,42.0644761,-87.7009577
